#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 8636, 4,    -0.14, 3,   boost,   34.66,  99073.00,  189.17,   22.78,   47.62, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,    -0.13, 3,   boost,   36.47,  99063.00,  190.02,   23.63,   48.32, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,    -0.12, 3,   boost,   38.34,  99060.00,  190.27,   23.88,   49.02, 20.0, 8.34, 8.28, 8.28
6, 8636, 4,    -0.11, 3,   boost,   40.28,  99048.00,  191.29,   24.90,   49.73, 20.0, 8.31, 8.28, 8.28
6, 8636, 4,    -0.10, 3,   boost,   42.28,  99039.00,  192.05,   25.66,   50.45, 20.0, 8.34, 8.28, 8.28
6, 8636, 4,    -0.09, 3,   boost,   44.33,  99038.00,  192.14,   25.75,   51.18, 20.0, 8.34, 8.28, 8.28
6, 8636, 4,    -0.08, 3,   boost,   46.44,  99030.00,  192.82,   26.42,   51.91, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,    -0.07, 3,   boost,   48.59,  99019.00,  193.75,   27.36,   52.66, 20.0, 8.34, 8.28, 8.28
6, 8636, 4,    -0.06, 3,   boost,   50.78,  99015.00,  194.09,   27.70,   53.41, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,    -0.05, 3,   boost,   53.01,  99004.00,  195.02,   28.63,   54.17, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,    -0.04, 3,   boost,   55.27,  98999.00,  195.45,   29.05,   54.94, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,    -0.03, 3,   boost,   57.54,  98984.00,  196.72,   30.33,   55.71, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,    -0.02, 3,   boost,   59.82,  98982.00,  196.89,   30.50,   56.49, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,    -0.01, 3,   boost,   62.10,  98971.00,  197.82,   31.43,   57.28, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,     0.00, 3,   boost,   64.36,  98959.00,  198.84,   32.45,   58.08, 20.0, 8.31, 8.28, 8.28
6, 8636, 4,     0.00, 3,   boost,   64.36,  98959.00,  198.84,   32.45,   58.08, 20.0, 8.31, 8.28, 8.28
6, 8636, 4,     0.00, 3,   boost,   64.36,  98959.00,  198.84,   32.45,   58.08, 20.0, 8.31, 8.28, 8.28
6, 8636, 4,     0.00, 3,   boost,   64.36,  98959.00,  198.84,   32.45,   58.08, 20.0, 8.31, 8.28, 8.28
6, 8636, 4,     0.00, 3,   boost,   64.36,  98959.00,  198.84,   32.45,   58.08, 20.0, 8.31, 8.28, 8.28
6, 8636, 4,     0.00, 3,   boost,   64.36,  98959.00,  198.84,   32.45,   58.08, 20.0, 8.31, 8.28, 8.28
6, 8636, 4,     0.00, 3,   boost,   64.36,  98959.00,  198.84,   32.45,   58.08, 20.0, 8.31, 8.28, 8.28
6, 8636, 4,     0.00, 3,   boost,   64.36,  98959.00,  198.84,   32.45,   58.08, 20.0, 8.31, 8.28, 8.28
6, 8636, 4,     0.00, 3,   boost,   64.36,  98959.00,  198.84,   32.45,   58.08, 20.0, 8.31, 8.28, 8.28
6, 8636, 4,     0.00, 3,   boost,   64.36,  98959.00,  198.84,   32.45,   58.08, 20.0, 8.31, 8.28, 8.28
6, 8636, 4,     0.00, 3,   boost,   64.36,  98959.00,  198.84,   32.45,   58.08, 20.0, 8.31, 8.28, 8.28
6, 8636, 4,     0.00, 3,   boost,   64.36,  98959.00,  198.84,   32.45,   58.08, 20.0, 8.31, 8.28, 8.28
6, 8636, 4,     0.00, 3,   boost,   64.36,  98959.00,  198.84,   32.45,   58.08, 20.0, 8.31, 8.28, 8.28
6, 8636, 4,     0.00, 3,   boost,   64.36,  98959.00,  198.84,   32.45,   58.08, 20.0, 8.31, 8.28, 8.28
6, 8636, 4,     0.00, 3,   boost,   64.36,  98959.00,  198.84,   32.45,   58.08, 20.0, 8.31, 8.28, 8.28
6, 8636, 4,     0.00, 3,   boost,   64.36,  98959.00,  198.84,   32.45,   58.08, 20.0, 8.31, 8.28, 8.28
6, 8636, 4,     0.00, 3,   boost,   64.36,  98959.00,  198.84,   32.45,   58.08, 20.0, 8.31, 8.28, 8.28
6, 8636, 4,     0.01, 3,   boost,   66.61,  98953.00,  199.35,   32.96,   58.89, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,     0.02, 3,   boost,   68.82,  98942.00,  200.28,   33.89,   59.70, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,     0.03, 3,   boost,   70.99,  98935.00,  200.88,   34.48,   60.52, 20.0, 8.34, 8.28, 8.28
6, 8636, 4,     0.04, 3,   boost,   73.10,  98929.00,  201.39,   34.99,   61.35, 20.0, 8.34, 8.28, 8.28
6, 8636, 4,     0.05, 3,   boost,   75.14,  98916.00,  202.49,   36.10,   62.18, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,     0.06, 3,   boost,   77.11,  98906.00,  203.34,   36.94,   63.02, 20.0, 8.34, 8.28, 8.28
6, 8636, 4,     0.07, 3,   boost,   78.99,  98904.00,  203.51,   37.11,   63.87, 20.0, 8.34, 8.28, 8.28
6, 8636, 4,     0.08, 3,   boost,   80.78,  98893.00,  204.44,   38.05,   64.73, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,     0.09, 3,   boost,   82.46,  98883.00,  205.29,   38.90,   65.60, 20.0, 8.34, 8.28, 8.28
6, 8636, 4,     0.10, 3,   boost,   84.04,  98870.00,  206.39,   40.00,   66.47, 20.0, 8.34, 8.28, 8.28
6, 8636, 4,     0.11, 3,   boost,   85.50,  98867.00,  206.65,   40.26,   67.34, 20.0, 8.32, 8.28, 8.28
6, 8636, 4,     0.12, 3,   boost,   86.84,  98867.00,  206.65,   40.26,   68.23, 20.0, 8.35, 8.28, 8.29
6, 8636, 4,     0.13, 3,   boost,   88.07,  98845.00,  208.52,   42.12,   69.12, 20.0, 8.34, 8.29, 8.29
6, 8636, 4,     0.14, 3,   boost,   89.18,  98841.00,  208.86,   42.46,   70.01, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,     0.15, 3,   boost,   90.18,  98828.00,  209.96,   43.57,   70.92, 20.0, 8.35, 8.26, 8.28
6, 8636, 4,     0.16, 3,   boost,   91.06,  98811.00,  211.41,   45.01,   71.83, 20.0, 8.34, 8.25, 8.26
6, 8636, 4,     0.17, 3,   boost,   91.84,  98801.00,  212.25,   45.86,   72.75, 20.0, 8.34, 8.28, 8.28
6, 8636, 4,     0.18, 3,   boost,   92.51,  98798.00,  212.51,   46.12,   73.67, 20.0, 8.32, 8.26, 8.28
6, 8636, 4,     0.19, 3,   boost,   93.09,  98790.00,  213.19,   46.80,   74.60, 20.0, 8.34, 8.29, 8.29
6, 8636, 4,     0.20, 3,   boost,   93.59,  98767.00,  215.14,   48.75,   75.53, 20.0, 8.32, 8.26, 8.28
6, 8636, 4,     0.21, 3,   boost,   94.01,  98765.00,  215.31,   48.92,   76.47, 20.0, 8.34, 8.28, 8.28
6, 8636, 4,     0.22, 3,   boost,   94.36,  98752.00,  216.42,   50.03,   77.41, 20.0, 8.31, 8.28, 8.28
6, 8636, 4,     0.23, 3,   boost,   94.65,  98752.00,  216.42,   50.03,   78.37, 20.0, 8.34, 8.28, 8.29
6, 8636, 4,     0.24, 3,   boost,   94.90,  98742.00,  217.27,   50.88,   79.32, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,     0.25, 3,   boost,   95.11,  98721.00,  219.05,   52.66,   80.28, 20.0, 8.32, 8.28, 8.28
6, 8636, 4,     0.26, 3,   boost,   95.28,  98705.00,  220.41,   54.02,   81.25, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,     0.27, 3,   boost,   95.44,  98701.00,  220.75,   54.36,   82.22, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,     0.28, 3,   boost,   95.58,  98689.00,  221.77,   55.38,   83.19, 20.0, 8.35, 8.26, 8.28
6, 8636, 4,     0.29, 3,   boost,   95.72,  98672.00,  223.22,   56.83,   84.17, 20.0, 8.34, 8.28, 8.29
6, 8636, 4,     0.30, 3,   boost,   95.86,  98667.00,  223.65,   57.25,   85.15, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,     0.31, 3,   boost,   95.99,  98656.00,  224.58,   58.19,   86.14, 20.0, 8.32, 8.26, 8.28
6, 8636, 4,     0.32, 3,   boost,   96.14,  98644.00,  225.60,   59.21,   87.13, 20.0, 8.32, 8.28, 8.28
6, 8636, 4,     0.33, 3,   boost,   96.29,  98624.00,  227.30,   60.91,   88.12, 20.0, 8.31, 8.28, 8.28
6, 8636, 4,     0.34, 3,   boost,   96.46,  98624.00,  227.30,   60.91,   89.12, 20.0, 8.34, 8.28, 8.29
6, 8636, 4,     0.35, 3,   boost,   96.63,  98613.00,  228.24,   61.85,   90.12, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,     0.36, 3,   boost,   96.82,  98595.00,  229.77,   63.38,   91.12, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,     0.37, 3,   boost,   96.98,  98578.00,  231.22,   64.83,   92.13, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,     0.38, 3,   boost,   97.12,  98563.00,  232.49,   66.10,   93.14, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,     0.39, 3,   boost,   97.24,  98548.00,  233.77,   67.38,   94.15, 20.0, 8.32, 8.28, 8.28
6, 8636, 4,     0.40, 3,   boost,   97.33,  98541.00,  234.37,   67.97,   95.16, 20.0, 8.38, 8.26, 8.28
6, 8636, 4,     0.41, 3,   boost,   97.40,  98526.00,  235.64,   69.25,   96.17, 20.0, 8.34, 8.26, 8.29
6, 8636, 4,     0.42, 3,   boost,   97.45,  98510.00,  237.01,   70.61,   97.19, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,     0.43, 3,   boost,   97.48,  98496.00,  238.20,   71.81,   98.20, 20.0, 8.32, 8.26, 8.28
6, 8636, 4,     0.44, 3,   boost,   97.48,  98486.00,  239.05,   72.66,   99.22, 20.0, 8.32, 8.28, 8.26
6, 8636, 4,     0.45, 3,   boost,   97.45,  98486.00,  239.05,   72.66,  100.24, 20.0, 8.34, 8.28, 8.29
6, 8636, 4,     0.46, 3,   boost,   97.41,  98468.00,  240.58,   74.19,  101.25, 20.0, 8.32, 8.29, 8.28
6, 8636, 4,     0.47, 3,   boost,   97.34,  98455.00,  241.69,   75.30,  102.27, 19.9, 8.35, 8.28, 8.28
6, 8636, 4,     0.48, 3,   boost,   97.24,  98428.00,  243.99,   77.60,  103.29, 19.9, 8.34, 8.26, 8.28
6, 8636, 4,     0.49, 3,   boost,   97.12,  98421.00,  244.59,   78.20,  104.30, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,     0.50, 3,   boost,   96.98,  98403.00,  246.12,   79.73,  105.32, 20.0, 8.34, 8.28, 8.28
6, 8636, 4,     0.51, 3,   boost,   96.81,  98391.00,  247.15,   80.75,  106.33, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,     0.52, 3,   boost,   96.61,  98381.00,  248.00,   81.61,  107.34, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,     0.53, 3,   boost,   96.39,  98361.00,  249.70,   83.31,  108.35, 20.0, 8.32, 8.28, 8.28
6, 8636, 4,     0.54, 3,   boost,   96.15,  98340.00,  251.50,   85.10,  109.36, 20.0, 8.38, 8.26, 8.28
6, 8636, 4,     0.55, 3,   boost,   95.88,  98321.00,  253.12,   86.72,  110.37, 20.0, 8.31, 8.28, 8.31
6, 8636, 4,     0.56, 3,   boost,   95.58,  98321.00,  253.12,   86.72,  111.37, 20.0, 8.32, 8.26, 8.29
6, 8636, 4,     0.57, 3,   boost,   95.26,  98309.00,  254.14,   87.75,  112.37, 20.0, 8.32, 8.28, 8.28
6, 8636, 4,     0.58, 3,   boost,   94.92,  98291.00,  255.68,   89.28,  113.37, 19.9, 8.34, 8.26, 8.26
6, 8636, 4,     0.59, 3,   boost,   94.55,  98270.00,  257.47,   91.07,  114.36, 19.9, 8.34, 8.26, 8.28
6, 8636, 4,     0.60, 3,   boost,   94.16,  98263.00,  258.06,   91.67,  115.35, 19.9, 8.32, 8.29, 8.29
6, 8636, 4,     0.61, 3,   boost,   93.74,  98245.00,  259.60,   93.21,  116.34, 19.9, 8.35, 8.28, 8.28
6, 8636, 4,     0.62, 3,   boost,   93.30,  98225.00,  261.31,   94.91,  117.32, 20.0, 8.34, 8.28, 8.28
6, 8636, 4,     0.63, 3,   boost,   92.83,  98213.00,  262.33,   95.94,  118.29, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,     0.64, 3,   boost,   92.35,  98197.00,  263.70,   97.31,  119.26, 20.0, 8.34, 8.28, 8.28
6, 8636, 4,     0.65, 3,   boost,   91.83,  98180.00,  265.15,   98.76,  120.23, 20.0, 8.34, 8.28, 8.28
6, 8636, 4,     0.66, 3,   boost,   91.30,  98170.00,  266.00,   99.61,  121.19, 20.0, 8.32, 8.28, 8.28
6, 8636, 4,     0.67, 3,   boost,   90.74,  98170.00,  266.00,   99.61,  122.14, 20.0, 8.32, 8.26, 8.29
6, 8636, 4,     0.68, 3,   boost,   90.16,  98145.00,  268.14,  101.75,  123.09, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,     0.69, 3,   boost,   89.55,  98116.00,  270.62,  104.22,  124.03, 19.9, 8.34, 8.26, 8.28
6, 8636, 4,     0.70, 3,   boost,   88.93,  98103.00,  271.73,  105.33,  124.97, 19.9, 8.34, 8.26, 8.28
6, 8636, 4,     0.71, 3,   boost,   88.28,  98083.00,  273.44,  107.04,  125.90, 19.9, 8.34, 8.29, 8.28
6, 8636, 4,     0.72, 3,   boost,   87.62,  98062.00,  275.23,  108.84,  126.82, 19.9, 8.34, 8.26, 8.28
6, 8636, 4,     0.73, 3,   boost,   86.93,  98054.00,  275.91,  109.52,  127.73, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,     0.74, 3,   boost,   86.22,  98044.00,  276.77,  110.38,  128.64, 20.0, 8.31, 8.29, 8.29
6, 8636, 4,     0.75, 3,   boost,   85.49,  98018.00,  278.99,  112.60,  129.53, 20.0, 8.35, 8.26, 8.28
6, 8636, 4,     0.76, 3,   boost,   84.75,  98004.00,  280.19,  113.80,  130.42, 20.0, 8.34, 8.28, 8.28
6, 8636, 4,     0.77, 3,   boost,   83.98,  97987.00,  281.64,  115.25,  131.30, 20.0, 8.32, 8.28, 8.28
6, 8636, 4,     0.78, 3,   boost,   83.20,  97987.00,  281.64,  115.25,  132.17, 20.0, 8.34, 8.26, 8.29
6, 8636, 4,     0.79, 3,   boost,   82.40,  97965.00,  283.53,  117.13,  133.04, 20.0, 8.34, 8.26, 8.28
6, 8636, 4,     0.80, 3,   boost,   81.58,  97939.00,  285.75,  119.36,  133.89, 19.9, 8.34, 8.26, 8.28
6, 8636, 4,     0.81, 3,   boost,   80.75,  97910.00,  288.23,  121.84,  134.74, 19.9, 8.32, 8.28, 8.28
